Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0317095416007534,0.00585954573908961,-0.0152243764730905,0,0,0,1.17424291261763,0.00248432843336696,-1.47224274103694E-07,1.4747915255414E-05,0.00646656944346282,1.76186370908733E-06,0.00420898613081866,0,0,0,0,0,0,package://Robotbase/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://Robotbase/meshes/base_link.STL,,R2base.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1,0.0458771944899619,0.273062342112664,0.00546218671817029,0,0,0,2.11190311993617,0.125143591732326,0.0213467042368404,0.00288420835824469,0.133607452018479,0.000848099165999844,0.254298069907116,0,0,0,0,0,0,package://Robotbase/meshes/wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robotbase/meshes/wheel_1.STL,,Omni Wheel-1,Origin_wheel_joint_1,Axis_wheel_joint_1,wheel_joint_1,continuous,-0.205579586803807,0.205579586803807,0.025525,-3.12287874080334,0.00789732473317189,0.772154897409695,base_link,0.0132424659193927,0.9997352674052,-0.0188157434779373,,,,,,,,,,,,
wheel_2,0.0249361037302708,0.344076787772775,-0.00525954032226627,0,0,0,2.11190311993617,0.176851164364651,0.0140731171262247,-0.0574672883301494,0.124722094801253,0.016639734965707,0.211475854492017,0,0,0,0,0,0,package://Robotbase/meshes/wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robotbase/meshes/wheel_2.STL,,Omni Wheel-2,Origin_wheel_joint_2,Axis_wheel_joint_2,wheel_joint_2,continuous,0.273359702677944,0.273359702677944,0.025524999999999,0.0283684725139944,0.624739352427002,2.37252145313176,base_link,0.0132424659193958,0.9997352674052,-0.0188157434779366,,,,,,,,,,,,
wheel_3,-0.0153682388591595,0.340029706879059,-0.000428568532610744,0,0,0,2.11190311993617,0.158038000924784,0.00285067819372706,-0.0267302850342901,0.108281483822745,0.00660110986486032,0.246729628910391,0,0,0,0,0,0,package://Robotbase/meshes/wheel_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Robotbase/meshes/wheel_3.STL,,Omni Wheel-4,Origin_wheel_joint_3,Axis_wheel_joint_3,wheel_joint_3,continuous,0,-0.297733077767124,0.025525000000001,-3.11920659587766,-0.263132299010667,3.12787770373792,base_link,0.0132424659193945,0.9997352674052,-0.0188157434779373,,,,,,,,,,,,
